fname,liveness_score,frame_count,fold
1.mp4,0,126,4.0
2.mp4,1,121,2.0
3.mp4,1,162,3.0
5.mp4,0,160,4.0
7.mp4,1,145,1.0
8.mp4,1,152,2.0
10.mp4,0,160,0.0
11.mp4,1,160,4.0
12.mp4,0,151,1.0
13.mp4,1,150,0.0
14.mp4,0,160,4.0
18.mp4,1,150,1.0
19.mp4,0,160,0.0
20.mp4,1,150,4.0
22.mp4,1,152,4.0
24.mp4,1,152,4.0
25.mp4,0,150,4.0
26.mp4,0,160,0.0
28.mp4,0,160,1.0
29.mp4,0,150,1.0
30.mp4,0,160,4.0
31.mp4,1,132,2.0
33.mp4,0,126,0.0
35.mp4,1,152,4.0
36.mp4,0,151,1.0
37.mp4,1,152,3.0
39.mp4,1,152,2.0
40.mp4,1,145,0.0
41.mp4,0,160,4.0
42.mp4,1,86,2.0
44.mp4,0,160,4.0
48.mp4,0,126,0.0
52.mp4,0,160,4.0
53.mp4,1,152,4.0
54.mp4,0,160,4.0
55.mp4,1,152,0.0
56.mp4,0,150,4.0
58.mp4,0,160,4.0
61.mp4,1,150,0.0
63.mp4,0,160,3.0
66.mp4,1,145,0.0
67.mp4,0,160,1.0
68.mp4,0,160,3.0
69.mp4,0,150,0.0
71.mp4,0,148,3.0
72.mp4,1,160,2.0
73.mp4,0,151,3.0
75.mp4,1,152,2.0
76.mp4,0,150,3.0
78.mp4,0,150,1.0
79.mp4,0,160,3.0
80.mp4,0,160,2.0
81.mp4,1,162,4.0
82.mp4,0,126,2.0
83.mp4,1,145,2.0
84.mp4,1,16,0.0
85.mp4,1,152,2.0
86.mp4,0,160,1.0
87.mp4,1,72,0.0
89.mp4,0,150,0.0
90.mp4,1,152,4.0
91.mp4,1,152,3.0
92.mp4,0,150,1.0
93.mp4,0,160,2.0
94.mp4,1,160,2.0
96.mp4,1,150,3.0
97.mp4,0,160,4.0
98.mp4,0,150,1.0
99.mp4,1,152,3.0
101.mp4,1,162,2.0
105.mp4,0,160,4.0
106.mp4,0,150,2.0
108.mp4,0,150,2.0
109.mp4,0,160,2.0
110.mp4,1,152,4.0
111.mp4,0,150,3.0
112.mp4,0,160,2.0
113.mp4,1,152,1.0
114.mp4,1,152,4.0
115.mp4,0,148,1.0
116.mp4,1,152,4.0
117.mp4,0,150,1.0
120.mp4,1,145,1.0
122.mp4,1,152,0.0
124.mp4,0,160,2.0
125.mp4,1,152,3.0
126.mp4,0,150,2.0
128.mp4,1,152,1.0
129.mp4,1,162,0.0
130.mp4,1,145,3.0
131.mp4,0,150,1.0
133.mp4,0,148,0.0
134.mp4,0,150,3.0
135.mp4,0,150,4.0
136.mp4,1,145,2.0
137.mp4,0,160,0.0
138.mp4,1,152,4.0
141.mp4,0,150,4.0
142.mp4,0,160,4.0
143.mp4,1,152,0.0
144.mp4,1,152,2.0
145.mp4,1,152,3.0
146.mp4,1,162,0.0
147.mp4,1,152,1.0
150.mp4,1,150,1.0
151.mp4,0,160,3.0
152.mp4,1,150,4.0
154.mp4,1,162,4.0
155.mp4,1,161,4.0
157.mp4,1,152,1.0
164.mp4,0,160,4.0
165.mp4,0,126,0.0
166.mp4,0,150,2.0
167.mp4,1,150,3.0
168.mp4,0,126,1.0
171.mp4,1,150,0.0
172.mp4,0,160,0.0
173.mp4,1,121,0.0
175.mp4,0,160,0.0
177.mp4,0,150,3.0
179.mp4,0,120,3.0
180.mp4,0,160,0.0
182.mp4,0,160,0.0
183.mp4,0,150,1.0
185.mp4,1,152,3.0
189.mp4,0,150,0.0
191.mp4,1,125,4.0
192.mp4,1,86,0.0
193.mp4,1,114,2.0
194.mp4,0,148,1.0
195.mp4,1,152,2.0
