,fname,xmin,ymin,xmax,ymax,height,width
0,1.mp4,129.38735961914062,159.4780731201172,407.6365661621094,446.8410339355469,852,480
1,2.mp4,94.46409606933594,218.0395050048828,422.3447570800781,597.996337890625,853,480
2,3.mp4,108.80661010742188,141.7276611328125,314.9301452636719,388.094970703125,853,480
3,5.mp4,91.83672332763672,159.80307006835938,368.00482177734375,475.95074462890625,853,480
4,7.mp4,119.22274780273438,212.48866271972656,383.42132568359375,533.9813842773438,853,480
5,8.mp4,111.5363998413086,244.79586791992188,382.9116516113281,538.0411376953125,853,480
6,10.mp4,59.05995559692383,186.34625244140625,361.636962890625,510.58648681640625,853,480
7,11.mp4,141.43788146972656,305.505615234375,331.8077697753906,522.3999633789062,853,480
8,12.mp4,58.830440521240234,295.4203186035156,394.3201904296875,694.6698608398438,853,480
9,13.mp4,201.77073669433594,284.4689636230469,322.1536865234375,415.16766357421875,852,480
10,14.mp4,79.22531127929688,457.6305236816406,342.921875,742.4640502929688,852,480
11,18.mp4,99.23855590820312,246.9769287109375,366.9643249511719,539.9345092773438,854,480
12,19.mp4,180.99087524414062,88.53447723388672,299.1102294921875,237.20700073242188,270,480
13,20.mp4,137.36476135253906,333.52606201171875,414.62652587890625,690.3800659179688,853,480
14,22.mp4,82.38145446777344,223.04222106933594,375.2582092285156,526.1275024414062,854,480
15,24.mp4,204.02635192871094,183.32200622558594,325.1994323730469,309.22381591796875,853,480
16,25.mp4,16.54354476928711,109.09980773925781,425.9155578613281,615.2183227539062,852,480
17,26.mp4,71.7962875366211,198.79714965820312,378.76568603515625,524.352783203125,853,480
18,28.mp4,137.0517120361328,328.9792785644531,353.0783386230469,567.9345092773438,853,480
19,29.mp4,150.78810119628906,126.51258087158203,305.9566955566406,296.72589111328125,854,480
20,30.mp4,129.16407775878906,333.5245361328125,331.9521789550781,588.2090454101562,853,480
21,31.mp4,86.55728912353516,231.26956176757812,420.6071472167969,584.2341918945312,852,480
22,33.mp4,61.23175048828125,261.6827392578125,364.2294006347656,603.4539794921875,852,480
23,35.mp4,126.83274841308594,269.85693359375,460.46124267578125,689.8411254882812,852,480
24,36.mp4,42.937522888183594,299.66357421875,413.7858581542969,764.0138549804688,853,480
25,37.mp4,185.9993438720703,253.65060424804688,355.0947570800781,460.11083984375,853,480
26,39.mp4,67.62774658203125,199.659423828125,336.8851318359375,501.7218322753906,853,480
27,40.mp4,103.7347640991211,142.30392456054688,344.06671142578125,418.7991027832031,853,480
28,41.mp4,70.21849822998047,263.00897216796875,368.4087829589844,620.1630249023438,853,480
29,42.mp4,148.658935546875,183.62889099121094,371.6298828125,455.25921630859375,854,480
30,44.mp4,84.13261413574219,259.3531799316406,445.56085205078125,644.2257080078125,852,480
31,48.mp4,89.30322265625,268.69268798828125,368.7184143066406,577.039794921875,852,480
32,52.mp4,123.9957046508789,326.6939392089844,357.9977722167969,588.0311889648438,853,480
33,53.mp4,104.66291046142578,165.18441772460938,314.0540466308594,414.61004638671875,853,480
34,54.mp4,141.02658081054688,336.565185546875,329.1753234863281,561.5391235351562,853,480
35,55.mp4,70.59342956542969,364.6082458496094,391.27435302734375,729.242919921875,864,480
36,56.mp4,61.90190505981445,281.8771667480469,284.5689392089844,534.1935424804688,852,480
37,58.mp4,25.182771682739258,255.45863342285156,362.44964599609375,616.7766723632812,853,480
38,61.mp4,81.71349334716797,243.89804077148438,330.9024658203125,530.562744140625,853,480
39,63.mp4,67.19664001464844,97.94913482666016,439.6961669921875,550.8269653320312,853,480
40,66.mp4,82.0459213256836,312.5409851074219,376.82366943359375,621.8645629882812,847,480
41,67.mp4,165.07879638671875,310.8767395019531,341.8538818359375,502.6142272949219,853,480
42,68.mp4,72.39112091064453,346.48822021484375,413.3720397949219,707.2265014648438,853,480
43,69.mp4,151.6265106201172,259.6420593261719,399.8845520019531,513.6046142578125,852,480
44,71.mp4,139.26092529296875,401.80322265625,261.0061950683594,524.3986206054688,852,480
45,72.mp4,82.1294174194336,308.0574035644531,424.138916015625,681.9707641601562,853,480
46,73.mp4,81.86185455322266,234.3153839111328,370.0932922363281,534.2220458984375,853,480
47,75.mp4,108.34310150146484,211.75221252441406,338.4522705078125,474.77777099609375,853,480
48,76.mp4,51.16254425048828,153.48117065429688,461.1222839355469,657.6290283203125,854,480
49,78.mp4,145.61659240722656,171.0577392578125,341.5704040527344,372.59600830078125,852,480
50,79.mp4,102.20552825927734,412.4237060546875,398.5448303222656,720.1849365234375,852,480
51,80.mp4,106.73977661132812,271.87158203125,357.00360107421875,543.4886474609375,853,480
52,81.mp4,63.02372741699219,376.29339599609375,391.1130065917969,766.6201171875,853,480
53,82.mp4,92.45948028564453,339.6255187988281,406.9602355957031,664.8477783203125,852,480
54,83.mp4,101.06580352783203,156.67208862304688,390.2627868652344,508.1270446777344,853,480
55,84.mp4,158.36044311523438,400.6001281738281,396.345458984375,680.970703125,853,480
56,85.mp4,137.8118133544922,167.4457550048828,345.1275939941406,389.37176513671875,853,480
57,86.mp4,32.01887893676758,374.5691223144531,419.4541320800781,841.7583618164062,852,480
58,87.mp4,61.11578369140625,194.5741424560547,335.014892578125,512.818115234375,640,480
59,89.mp4,66.01155853271484,281.6501770019531,351.2132873535156,587.3507080078125,852,480
60,90.mp4,150.59776306152344,326.19061279296875,405.3383483886719,629.9121704101562,853,480
61,91.mp4,177.46609497070312,151.1695098876953,412.2655334472656,447.3358154296875,480,480
62,92.mp4,61.61648941040039,281.0297546386719,384.9940490722656,654.697021484375,853,480
63,93.mp4,48.19755172729492,306.32403564453125,392.0810852050781,745.4072875976562,853,480
64,94.mp4,106.98168182373047,175.61248779296875,356.3635559082031,439.43792724609375,853,480
65,96.mp4,151.0167694091797,236.530029296875,314.44500732421875,413.2035217285156,853,480
66,97.mp4,159.8460693359375,436.2123107910156,261.4281005859375,557.7574462890625,853,480
67,98.mp4,33.7464714050293,275.59893798828125,391.70660400390625,676.7802124023438,853,480
68,99.mp4,92.34904479980469,281.77264404296875,326.41925048828125,546.5980224609375,853,480
69,101.mp4,143.71401977539062,170.3585662841797,341.09991455078125,386.0498962402344,853,480
70,105.mp4,145.44186401367188,353.190673828125,396.7644348144531,684.2468872070312,853,480
71,106.mp4,110.83382415771484,273.08856201171875,365.8255615234375,584.8814086914062,852,480
72,108.mp4,194.3913116455078,43.01446533203125,357.9518127441406,240.1910858154297,854,480
73,109.mp4,112.92269134521484,129.22256469726562,316.11285400390625,369.7474365234375,853,480
74,110.mp4,112.10923767089844,318.9489440917969,385.064453125,663.2350463867188,853,480
75,111.mp4,44.479583740234375,390.19769287109375,364.8149108886719,733.9514770507812,852,480
76,112.mp4,117.8625259399414,388.5234069824219,423.71099853515625,744.6741333007812,852,480
77,113.mp4,58.4654426574707,387.8471984863281,314.2566223144531,697.4708862304688,859,480
78,114.mp4,112.69644927978516,290.08111572265625,413.43646240234375,645.0203857421875,853,480
79,115.mp4,87.99791717529297,240.95953369140625,356.4253234863281,540.4620971679688,852,480
80,116.mp4,86.55042266845703,432.369140625,331.86370849609375,729.68701171875,854,480
81,117.mp4,31.823495864868164,173.92544555664062,330.2022399902344,506.39666748046875,852,480
82,120.mp4,33.32731246948242,356.93914794921875,351.98974609375,712.627197265625,853,480
83,122.mp4,191.7014923095703,68.5332260131836,346.76409912109375,259.7705993652344,853,480
84,124.mp4,122.86253356933594,305.82342529296875,412.9521179199219,608.698486328125,853,480
85,125.mp4,248.78306579589844,176.57394409179688,359.0150146484375,300.87762451171875,853,480
86,126.mp4,53.561126708984375,184.25172424316406,473.4554138183594,707.5088500976562,854,480
87,128.mp4,105.99219512939453,182.23623657226562,370.4776916503906,476.662109375,853,480
88,129.mp4,115.57311248779297,145.57455444335938,348.08349609375,404.1242370605469,853,480
89,130.mp4,70.44721984863281,218.37310791015625,426.1797790527344,613.8800659179688,853,480
90,131.mp4,123.69379425048828,141.8198699951172,417.2349853515625,489.48907470703125,852,480
91,133.mp4,55.54667663574219,240.4291534423828,451.4993591308594,731.1759643554688,852,480
92,134.mp4,64.22590637207031,275.6725158691406,398.28570556640625,645.1028442382812,854,480
93,136.mp4,114.94817352294922,168.42315673828125,435.27569580078125,628.3141479492188,853,480
94,137.mp4,53.200931549072266,189.05577087402344,374.0888671875,519.01123046875,852,480
95,138.mp4,152.3478240966797,282.27740478515625,332.4387512207031,481.0064697265625,853,480
96,141.mp4,139.44923400878906,226.37684631347656,375.3963623046875,480.80670166015625,852,480
97,142.mp4,112.701416015625,313.69818115234375,338.6269226074219,563.0794067382812,853,480
98,143.mp4,114.40031433105469,164.1359405517578,372.09442138671875,427.4989929199219,853,480
99,144.mp4,69.05406951904297,254.78587341308594,381.57666015625,635.0596923828125,983,480
100,145.mp4,148.32473754882812,223.58404541015625,399.40740966796875,493.8377380371094,854,480
101,146.mp4,153.32728576660156,222.6574249267578,317.6890563964844,399.6038513183594,853,480
102,147.mp4,196.14389038085938,205.3626251220703,333.2619323730469,359.2435302734375,853,480
103,150.mp4,141.98477172851562,302.73626708984375,446.6935729980469,642.9954833984375,853,480
104,151.mp4,10.878628730773926,396.5234375,252.7421417236328,694.2235717773438,853,480
